IDPROV,NombreProv,Censo1996,Vot1996,Parti1996,VBlan1996,PP_1996,PSOE_1996,IU_1996,CIU_1996,EAJPN_1996,OTROS1996,Censo2000,Vot2000,Parti2000,VBlan2000,PP_2000,PSOE_2000,IU_2000,CIU_2000,EAJPN_2000,OTROS2000,Censo2004,Vot2004,Parti2004,VBlan2004,PSOE_2004,PP_2004,IU_2004,CIU_2004,ERC_2004,OTROS2004,Censo2008,Vot2008,Parti2008,VBlan2008,PSOE2008,PP_2008,IU_2008,CIU_2008,EAJPN_2008,OTROS2008,Censo2011,Vot2011,Partici2011,VBlan2011,PP_2011,PSOE_2011,IU_2011,UPYD_2011,CIU_2011,OTROS2011,Censo2016,Vot2016,Particip,VBlan2016,PP_2016,PSOE_2016,PODEM_2016,Cs_2016,UPC2015,Otros2016
22,Huesca                                            ,176510,136633,76.91,1980,45.60,41.08,7.54,0.00,0.00,5.79,178786,126504,70.17,2142,45.13,37.06,3.11,0.00,0.00,14.71,176971,135595,76.11,2627,45.66,37.49,2.71,0.00,0.00,14.14,176265,133031,75.03,1759,47.60,37.62,2.88,0.00,0.00,11.90,175713,122687,68.62,2890,48.47,33.77,8.24,4.49,0.00,5.03,173546,116884,67.35,1204,36.22,25.59,19.19,15.34,0.00,3.66
23,Jaén                                              ,507666,424866,83.28,2639,36.89,48.68,11.72,0.00,0.00,2.71,524813,402625,76.21,4033,40.33,47.75,7.11,0.00,0.00,4.81,525955,422857,79.88,4951,54.41,34.11,5.83,0.00,0.00,5.65,530342,416925,78.18,3223,55.48,36.50,4.79,0.00,0.00,3.23,537036,407573,75.12,4124,45.44,40.98,6.95,3.40,0.00,3.21,532211,370762,69.66,2545,35.40,37.39,14.36,10.49,4.33,2.37
24,León                                              ,436206,335733,76.59,3586,48.74,37.87,7.67,0.00,0.00,5.71,451322,314258,69.20,4206,48.75,31.95,3.62,0.00,0.00,15.67,450279,336885,74.43,5031,46.78,44.96,2.14,0.00,0.00,6.12,447306,334013,74.24,3638,50.09,43.33,2.14,0.00,0.00,4.43,447708,297906,65.51,5470,52.05,34.17,5.32,4.66,0.00,3.80,440263,280858,63.79,2397,40.14,26.23,17.62,12.77,4.78,3.24
25,Lleida                                            ,301268,227202,75.12,1601,17.88,33.00,3.32,39.27,0.00,6.53,313239,202124,64.03,2897,20.98,27.61,0.96,38.96,0.00,11.49,312357,234244,74.68,1874,29.57,14.62,2.96,29.46,21.48,1.91,311773,215046,68.49,3749,37.23,15.05,2.57,28.57,0.00,16.59,313516,196083,61.38,4468,19.44,20.35,3.89,0.56,41.32,14.45,313207,181159,57.84,2156,13.53,12.44,16.66,6.95,0.00,50.42
26,La Rioja                                          ,221583,179306,80.43,2612,49.41,36.65,8.71,0.00,0.00,5.23,230427,170997,73.64,3265,54.10,34.87,4.02,0.00,0.00,7.00,234776,186545,78.84,3827,43.97,49.94,2.76,0.00,0.00,3.32,238808,189361,78.74,2068,43.63,49.51,1.94,0.00,0.00,4.92,242800,176707,71.63,2793,54.70,31.09,4.60,5.96,0.00,3.66,247670,172982,69.84,1225,42.61,24.29,16.63,13.98,4.20,2.49
27,Lugo                                              ,338099,243652,71.65,1838,53.47,32.48,2.60,0.00,0.00,11.45,344241,233145,67.24,2506,57.97,22.91,0.99,0.00,0.00,18.13,347433,251243,71.79,2935,37.17,49.71,1.03,0.00,0.00,12.10,346534,249534,71.50,2252,41.45,44.52,0.95,0.00,0.00,13.08,350851,220379,61.69,3628,56.10,28.35,3.05,0.93,0.00,11.57,348561,192957,55.36,2088,47.43,23.73,16.97,6.92,0.00,4.95
28,Madrid                                            ,4199799,3342628,79.34,41927,49.29,31.42,16.44,0.00,0.00,2.84,4317146,3111662,71.70,58114,52.52,33.06,9.12,0.00,0.00,5.31,4458540,3519243,78.54,72038,44.11,45.02,6.43,0.00,0.00,4.44,4490040,3550858,78.67,33539,39.68,49.19,4.66,0.00,0.00,6.46,4653779,3409331,72.50,35093,50.97,26.05,8.04,10.30,0.00,4.65,4927932,3465795,70.33,18137,38.25,19.57,21.29,17.79,5.30,3.10
29,Málaga                                            ,921238,689538,74.41,6666,38.50,42.04,15.16,0.00,0.00,4.30,1006029,654099,64.54,9250,43.47,39.06,8.12,0.00,0.00,9.35,1033409,742996,71.51,13022,49.77,36.41,6.38,0.00,0.00,7.44,1077550,768877,70.93,8052,46.98,42.96,5.07,0.00,0.00,5.00,1116276,726865,64.50,8350,49.66,31.59,9.02,5.61,0.00,4.11,1163657,744858,64.01,6178,34.37,27.04,18.91,16.28,6.86,3.39
30,Murcia                                            ,860305,705443,81.62,5516,49.89,37.99,10.53,0.00,0.00,1.59,917217,674516,73.12,7185,58.08,32.38,6.24,0.00,0.00,3.29,941145,725266,76.58,10331,35.00,57.42,4.27,0.00,0.00,3.31,969946,771912,79.03,5649,32.85,61.24,2.94,0.00,0.00,2.97,1000624,741554,73.42,6688,64.22,20.99,5.70,6.26,0.00,2.82,1034075,713592,69.01,3713,46.68,20.31,14.51,15.69,3.16,2.81
31,Navarra                                           ,444094,326201,73.00,5480,37.12,30.26,12.45,0.00,0.97,19.20,463892,306494,65.25,11945,49.89,27.32,7.61,0.00,2.16,13.03,466181,355339,72.83,6739,33.55,37.60,5.86,0.00,0.00,22.99,474058,341590,71.56,5001,34.76,39.22,3.27,0.00,0.00,22.74,488211,336440,67.82,6707,38.21,22.02,5.51,2.06,0.00,32.20,502530,335335,66.73,3468,31.90,17.35,28.32,6.11,0.00,16.31
